Train Time	Valid Time	Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
7.348543	1.465801	0.500000	2.016139	757.600938	24.577465	14.778325	
3.201205	1.154011	0.500000	1.587843	217.563649	34.788732	14.778325	
3.380888	1.083977	0.500000	1.548499	23.837005	35.845070	14.778325	
3.479787	1.057326	0.500000	1.448834	4.375007	42.605634	16.256158	
3.294245	1.034410	0.500000	1.375239	10.120040	45.000000	14.778325	
3.412107	0.979193	0.500000	1.315702	2.403072	43.239437	33.990148	
3.225174	0.988904	0.500000	1.259784	1.573036	47.816901	42.857143	
3.244210	1.034236	0.500000	1.222688	2.099091	50.915493	33.004926	
3.383491	1.032810	0.500000	1.200486	4.191384	51.971831	25.123153	
3.407474	1.156206	0.500000	1.125502	1.205151	56.056338	48.275862	
3.316859	1.011659	0.500000	1.163872	1.106633	55.140845	50.738916	
3.197294	1.029392	0.500000	1.106105	1.783371	57.957746	36.945813	
3.633160	1.118209	0.500000	1.136742	0.954669	55.985915	60.098522	
3.397606	1.002623	0.500000	1.067436	1.325812	58.239437	45.320197	
3.476507	1.088396	0.500000	1.045307	1.280290	58.169014	55.665025	
3.306835	1.036963	0.500000	1.017201	1.302084	62.394366	51.724138	
3.313340	1.020810	0.500000	0.966715	0.994034	62.394366	56.650246	
3.472422	1.025310	0.500000	0.988056	1.396314	62.816901	43.349754	
3.193830	0.999022	0.500000	1.003690	1.174038	60.774648	46.798030	
3.183192	1.026353	0.500000	0.973637	1.316670	62.183099	48.768473	
3.378849	0.982727	0.500000	0.978914	0.925689	64.014084	60.098522	
3.492588	1.015919	0.500000	0.948422	0.949916	62.887324	59.113300	
3.497766	1.040947	0.500000	0.907942	4.046015	65.492958	25.123153	
3.267680	1.025414	0.500000	0.869778	1.587029	67.816901	39.408867	
3.328414	1.021829	0.500000	0.882303	1.058331	66.549296	57.142857	
3.328059	0.978715	0.500000	0.887044	1.896837	67.746479	37.438424	
3.235685	1.132312	0.500000	0.941594	1.398123	65.070423	49.261084	
3.325231	1.012760	0.500000	0.898847	0.997959	65.704225	58.620690	
3.417173	1.032968	0.500000	0.912156	1.106601	65.915493	56.157635	
3.423739	1.088360	0.500000	0.864690	1.003737	67.253521	61.576355	
3.418939	1.127210	0.500000	0.825051	1.668002	69.295775	51.231527	
3.473777	1.081921	0.500000	0.906949	2.225443	66.549296	33.497537	
3.371897	1.024189	0.500000	0.849275	1.370553	68.661972	44.334975	
3.464654	1.006135	0.500000	0.803212	1.146816	70.000000	51.724138	
3.316892	1.022431	0.500000	0.786193	2.223119	70.140845	45.320197	
3.527117	1.049190	0.500000	0.801755	1.138352	68.943662	60.098522	
3.489205	0.995610	0.500000	0.790387	1.225753	70.211268	58.620690	
3.204134	0.994653	0.500000	0.791252	1.369482	69.718310	50.738916	
3.251137	1.051946	0.500000	0.813298	1.085973	70.774648	60.591133	
3.375023	1.137806	0.500000	0.781872	1.478609	70.563380	42.364532	
3.254602	1.051120	0.500000	0.754396	0.921434	72.535211	61.083744	
3.505123	0.986045	0.500000	0.755595	1.323347	72.676056	49.261084	
3.360029	1.022947	0.500000	0.827544	2.214100	69.718310	34.975369	
3.382041	1.137503	0.500000	0.765723	1.923211	71.619718	42.364532	
3.608951	1.004967	0.500000	0.766432	1.511291	72.183099	48.275862	
3.351035	1.079549	0.500000	0.746446	1.013090	71.971831	68.472906	
3.420406	1.089940	0.500000	0.748716	1.519866	73.802817	44.334975	
3.405680	1.056412	0.500000	0.730330	0.885840	73.802817	69.950739	
3.396513	1.026440	0.500000	0.729104	1.241699	74.014085	57.142857	
3.422511	1.116854	0.500000	0.727099	1.122954	72.676056	53.201970	
3.464593	1.028300	0.500000	0.761108	1.312329	72.605634	58.620690	
3.584874	1.015832	0.500000	0.697575	1.178833	73.732394	61.083744	
3.214774	0.975426	0.500000	0.679365	1.400019	75.422535	62.561576	
3.444488	1.037939	0.500000	0.717993	1.121052	73.098592	60.591133	
3.459560	1.038611	0.500000	0.710794	1.758729	74.154930	57.142857	
3.435578	1.055049	0.500000	0.700952	1.237209	73.309859	57.142857	
3.420560	1.020565	0.500000	0.704047	1.309298	74.577465	58.620690	
3.213615	1.124401	0.500000	0.680824	0.831911	74.929577	66.995074	
3.410769	1.004382	0.500000	0.670964	0.784411	75.422535	70.935961	
3.401622	1.028243	0.500000	0.713227	1.215967	74.788732	62.561576	
3.515806	1.066936	0.500000	0.724558	1.643085	74.014085	53.694581	
3.309228	1.031713	0.500000	0.694897	1.415857	74.647887	56.157636	
3.254690	1.026171	0.500000	0.727405	0.794407	74.014084	70.935961	
3.515949	1.128948	0.500000	0.666042	0.955086	74.788732	66.995074	
3.469606	1.014799	0.500000	0.651106	1.800626	75.211268	42.857143	
3.558176	1.021248	0.500000	0.646373	1.386417	76.760563	57.142857	
3.882639	1.083765	0.500000	0.716107	1.175171	73.661972	56.650246	
3.464599	1.056743	0.500000	0.620120	0.929913	75.352113	65.517241	
3.528213	1.044824	0.500000	0.673296	1.102587	76.267606	63.054187	
3.359842	0.993452	0.500000	0.697578	0.984011	74.507042	65.517241	
3.134482	0.997921	0.500000	0.656021	0.840293	75.070422	71.921182	
3.185377	1.000065	0.500000	0.696165	1.228190	74.366197	53.694581	
3.220663	1.006671	0.500000	0.677272	1.070941	75.563380	59.605911	
3.192387	0.986279	0.500000	0.643642	1.512038	75.352113	45.320197	
3.199703	1.012482	0.500000	0.637592	1.247181	77.253521	58.620690	
3.252768	1.056961	0.500000	0.646837	1.356944	76.408451	57.635468	
3.201753	1.111652	0.500000	0.651300	1.534378	76.901408	51.724138	
3.123061	0.992162	0.500000	0.623861	1.027332	76.197183	60.591133	
3.171006	1.001977	0.500000	0.613325	1.063750	77.535211	59.605911	
3.114861	0.997803	0.500000	0.612397	0.782491	77.676056	67.980296	
3.181328	1.111174	0.500000	0.593826	0.941738	78.732394	65.517241	
3.592774	1.030302	0.500000	0.594267	0.896770	77.676056	69.950739	
3.477391	1.129802	0.500000	0.619460	1.217267	78.732394	60.098522	
3.642383	1.070589	0.500000	0.630316	1.115998	76.267606	59.605911	
3.252809	1.029518	0.500000	0.602481	1.751779	78.802817	53.694581	
3.184942	0.999379	0.500000	0.612866	1.787859	78.028169	48.768473	
3.162086	1.071046	0.500000	0.654518	0.818060	75.845070	71.428572	
3.648933	1.006489	0.500000	0.625820	1.311925	76.971831	59.113301	
3.149315	0.992355	0.500000	0.620853	1.002071	77.676056	64.039409	
3.190201	1.021867	0.500000	0.600449	1.654084	77.605634	49.753695	
3.251572	0.981028	0.500000	0.604522	1.091125	77.183099	66.502463	
3.126685	1.002576	0.500000	0.574422	1.109864	79.788732	62.068965	
3.218895	1.036766	0.500000	0.596185	1.383642	78.028169	62.561576	
3.341857	1.030631	0.500000	0.547657	0.610542	80.211268	77.339901	
3.276942	0.982488	0.500000	0.588012	1.571609	78.873239	48.275862	
3.143783	1.001495	0.500000	0.610868	1.478088	78.098592	57.635468	
3.174640	0.972567	0.500000	0.574949	1.415403	80.633803	54.679803	
3.290178	1.012866	0.500000	0.576208	0.873944	78.873239	66.502463	
3.233799	1.103108	0.500000	0.579999	0.926670	78.873239	67.487685	
3.203677	1.113277	0.500000	0.578540	1.701733	78.661972	57.635468	
3.247274	1.002445	0.500000	0.636986	3.084545	75.845070	53.694581	
3.408380	1.002047	0.500000	0.645254	6.324224	75.845070	20.689655	
3.310398	1.033893	0.500000	0.565546	0.850386	79.788732	67.487685	
3.247282	1.013347	0.500000	0.568349	1.210729	79.929577	56.650246	
3.226511	1.052766	0.500000	0.516658	0.749215	81.267606	68.965517	
3.434495	1.064339	0.500000	0.558918	1.143346	79.295775	55.172414	
3.337577	0.998697	0.500000	0.535682	1.854320	80.000000	53.201971	
3.361453	1.035404	0.500000	0.572691	1.170263	79.014085	58.128079	
3.249303	1.052466	0.500000	0.530120	2.941342	81.478873	39.408867	
3.346046	1.043604	0.500000	0.613723	1.162497	78.943662	66.995074	
3.665817	1.024780	0.500000	0.550330	2.591326	79.014084	54.187192	
